dataset,duration,neighbours,max_duration,max_duration_ls,iterations,best_iteration,initial_costs,initial_distance,best_costs,best_distance
skas_12t,245.677883988,1..23,240,5,47,33,69339.53770322441,2584.9971110086703,51872.30987788355,2060.4705968501094
skas_12t,241.072519267,1..23,240,5,46,31,78202.26371066851,2820.826235418811,51819.762074724815,1969.1032413562577
skas_12t,241.564452958,1..23,240,5,46,16,131716.74032775563,4555.560254379529,50669.48786752766,2009.606538340621
skas_12t,240.971573867,1..23,240,5,46,35,75324.1249690196,2930.2198946509634,50100.80735438927,2127.3408588651628
skas_12t,241.311476796,1..23,240,5,46,38,72374.06651265947,2792.7239422218477,49083.778785999864,1899.6766128121762
skas_12t,241.609086988,1..23,240,5,46,27,81361.55144755241,3193.562598372406,48737.98723602723,1901.705152149837
skas_12t,240.648295151,1..23,240,5,46,42,104841.92307150387,4002.972167175322,50471.18349084035,2029.8135385550677
skas_12t,241.524034313,1..23,240,5,46,6,121733.94927371,4310.075261575897,46780.534176147936,1844.9477989401369
skas_12t,240.637398689,1..23,240,5,46,34,79036.62126333687,2950.8320275517854,51100.258720343096,1983.1333558039785
skas_12t,242.004536427,1..23,240,5,46,17,75698.33694053689,2991.8360841968347,48219.92222977499,1986.6872281948413
skas_12t,241.344858264,1..23,240,5,46,8,79393.68775593741,2971.2299694240564,48591.37150209949,1973.3910474562704
skas_12t,241.102882956,1..23,240,5,46,15,82530.45564560294,3026.498394168938,53068.02173661252,1962.300256806945
skas_12t,241.259862309,1..23,240,5,46,3,73519.6055544629,2681.34355775242,50023.64397680093,1890.1062849510174
skas_12t,240.759286367,1..23,240,5,46,46,85039.35531867837,3289.0477644205203,45697.09634321881,1819.3384443870973
skas_12t,246.117905424,1..23,240,5,47,9,66825.43476015712,2509.1567364640327,48241.60197002096,2002.5020430390273
skas_12t,241.124486577,1..23,240,5,46,6,70592.26650174598,2525.8904583318063,51387.80304041584,2003.5390749566968
skas_12t,241.573045139,1..23,240,5,46,14,80638.53374855766,3179.2998547124794,48549.12200989091,1977.6146536850854
skas_12t,240.837280733,1..23,240,5,46,30,86998.10991208088,3181.1863018581103,52337.47251557322,2012.0148902148785
skas_12t,241.72201684,1..23,240,5,46,13,80958.18174238874,3071.576778068665,52183.85962123804,2001.5186686690772
skas_12t,241.000677901,1..23,240,5,46,4,65059.68984287116,2569.921690715225,52321.7818185258,2023.9349213944085
skas_12t,240.847830093,1..23,240,5,46,12,78785.50678114139,2844.0372710019465,47097.73681214865,1808.837623466127
skas_12t,241.081229607,1..23,240,5,46,21,65394.933114646534,2454.607410047489,50101.32203997283,2027.3561850100946
skas_12t,241.633677279,1..23,240,5,46,11,74002.68604153555,2757.529463143068,48074.60832796835,1968.693783456975
skas_12t,240.625599458,1..23,240,5,46,4,70392.38573860047,2584.5015104570207,49814.95424022319,1962.4293691296928
skas_12t,241.451715413,1..23,240,5,46,11,90699.30830591943,3811.5396963148155,49754.89563840793,1994.855119258146
skas_12t,240.623519967,1..23,240,5,46,46,77691.5494765945,3031.829944045464,46978.12729603348,1908.6021882526024
skas_12t,241.136782658,1..23,240,5,46,29,110444.79626654452,4149.913698584404,46896.601760497084,1851.845497135401
skas_12t,241.489296239,1..23,240,5,46,43,82167.85426869824,3120.358770247649,50456.973297845085,2014.2193376871476
skas_12t,245.728392201,1..23,240,5,47,5,68616.80534363032,2601.438335597154,50721.985480526484,1998.4121424626662
skas_12t,241.459571591,1..23,240,5,46,6,89995.9188476459,3067.357476373777,51683.09666422144,2146.269575737691
skas_12t,241.050778341,1..23,240,5,46,40,93020.92494584552,3712.626272629737,49818.65971744507,2092.1073068280034
skas_12t,241.142892763,1..23,240,5,46,26,84717.94952501329,2993.6317215299982,46610.845688789035,1825.591840310391
skas_12t,241.123090321,1..23,240,5,46,23,69232.59013439412,2635.377847164636,46420.25092460453,1883.238440392756
skas_12t,242.175119004,1..23,240,5,46,44,103553.44385814281,3861.590565059841,48727.22544465106,1996.644222455786
skas_12t,246.279625701,1..23,240,5,47,29,88088.70007984107,3683.667638631164,48867.16150931135,1900.9353708566816
skas_12t,241.172355299,1..23,240,5,46,27,91110.29535216598,3238.3852567386925,50107.11521830241,2007.9192041914275
skas_12t,241.243955221,1..23,240,5,46,17,110604.05749964203,4013.38872458548,45939.51583157624,1814.6988255592123
skas_12t,241.342339787,1..23,240,5,46,30,55174.628793771066,2054.4014757209716,49258.20467758519,1916.7210288259325
skas_12t,241.286959193,1..23,240,5,46,27,102718.89447529097,3574.081125583851,49409.80305835662,1951.2342021201375
skas_12t,241.923616543,1..23,240,5,46,26,96979.54165555554,3849.1667948774048,48503.73690293987,1956.6392772785155
skas_12t,246.011169038,1..23,240,5,47,3,67690.69555533462,2581.9733125101975,52253.72471484797,2056.982699134959
skas_12t,241.796340999,1..23,240,5,46,9,93372.160689676,3398.9783189941168,52143.34797377431,2119.274632478156
skas_12t,241.352094281,1..23,240,5,46,9,84416.14671605767,3198.2727209258346,50766.052680852335,1969.1664636661426
skas_12t,241.557316878,1..23,240,5,46,27,71792.74659086032,2469.9145810933414,50687.03244182735,2005.9173552350128
skas_12t,242.042763317,1..23,240,5,46,36,81637.58795707204,3089.6233254838808,52884.963746181194,1980.87513000111
skas_12t,241.530888985,1..23,240,5,46,8,69822.2494360542,2760.259015337364,44251.79823852871,1871.853893327022
